xloc,yloc,sentence,parse,modparse
5.37,6.24,on the far half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.28,6.55,on the far half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.8,5.46,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.52,5.09,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.09,6.88,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.37,6.9,not very near to the left of the center of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN center)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.58,6.11,in the far half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.0,5.53,in the left half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ left) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.84,6.05,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.6,5.54,somewhat near to the left of the far right corner of the table,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))),(LOCATION-PHRASE (RELATION (RB somewhat) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (RB far) (JJ right) (NN corner)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.05,5.85,on the left half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ left) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.53,5.54,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.25,6.45,not very near in front of the right half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (IN in) (NN front) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.29,5.21,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.7,5.84,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.93,6.96,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.27,6.2,in the middle of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.9,5.93,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.15,6.77,in the left half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ left) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.42,5.57,in the middle of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.98,5.14,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.46,5.28,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.97,6.95,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.26,6.11,in the far half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.45,6.79,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.59,5.23,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.57,5.66,on the middle of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.14,6.87,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.38,6.91,somewhat near to the left of the far end of the table,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))),(LOCATION-PHRASE (RELATION (RB somewhat) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN end)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.24,5.01,not very near to the left of the middle of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.52,5.61,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.26,6.59,in the far half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.14,6.46,in the far half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ far) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.73,5.37,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.54,6.88,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.42,5.96,somewhat near to the left of the middle of the table,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))),(LOCATION-PHRASE (RELATION (RB somewhat) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.23,5.16,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.94,6.01,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.89,6.31,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.79,5.22,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.3,5.73,in the middle of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.27,5.66,in the middle of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.79,5.1,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.17,5.86,not very near behind the middle of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (IN behind)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.64,5.25,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.59,6.96,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.07,6.95,not very near behind the far right corner of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (IN behind)) (LANDMARK-PHRASE (LANDMARK (DT the) (RB far) (JJ right) (NN corner)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.89,5.13,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.62,5.21,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.4,5.5,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.7,6.77,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.99,6.52,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.79,5.62,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.98,6.25,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.16,5.79,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.34,5.16,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.02,5.51,not very near to the left of the near edge of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN edge)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.76,5.87,not very near to the left of the right side of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN side)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.76,6.92,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.84,6.07,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.93,6.69,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.18,5.09,not very near to the left of the far right corner of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN left) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (RB far) (JJ right) (NN corner)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.01,5.47,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ near) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.62,6.13,on the middle of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.68,5.84,not very near to the right of the left half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN right) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ left) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.93,6.73,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.74,6.39,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ right) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.2,6.18,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.54,5.68,in the middle of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN in)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN middle)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.88,5.87,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table))))
5.01,5.37,on the left half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))),(LOCATION-PHRASE (RELATION (IN on)) (LANDMARK-PHRASE (LANDMARK (DT the) (JJ left) (NN half)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
5.66,6.02,not very near to the right of the center of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))))),(LOCATION-PHRASE (RELATION (RB not) (RB very) (RB near) (TO to) (DT the) (NN right) (IN of)) (LANDMARK-PHRASE (LANDMARK (DT the) (NN center)) (OF of) (LANDMARK-PHRASE (LANDMARK (DT the) (NN table)))))
