loc_x,loc_y,sentence,parsetree
5.8,6.91,not very near to the right of the right side of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.08,5.63,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.22,6.73,on the left half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.19,6.51,somewhat far to the far right corner of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.27,5.44,on the left half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.85,5.59,not very near behind the left corner of the far half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.37,6.99,in the far half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.47,5.55,not very near to the right of the left corner of the near half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (JJ near) (NN half))) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.04,5.03,not very near to the right of the far corner of the left half of the chair,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN chair))))))))))))
5.63,6.9,somewhat near to the right of the near end of the bottle,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.08,5.4,not very near to the left of the middle of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.43,6.88,somewhat near to the left of the left edge of the bottle,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.76,5.34,very far to the left end of the far edge of the chair,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ left) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN chair)))))))))
5.88,5.64,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table)))))
5.63,6.83,not very far in front of the edge of the right half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))
5.82,6.72,in the right half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.43,6.14,next to the left corner of the far half of the bottle,(S1 (ADJP (JJ next) (PP (TO to) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.28,5.57,not very far from the near corner of the left half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.66,6.51,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.15,6.06,not very far from the far corner of the right half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.66,5.66,not very far from the far right corner of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.38,6.22,not very near to the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (DT the) (NN bottle))))))
5.33,5.13,not very near to the far end of the left edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.92,6.3,very far from the right edge of the cup,(S1 (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.18,6.6,in the far half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.07,5.39,not very far to the left of the right side of the near edge of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))))
5.06,5.25,on the near half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.69,6.21,not very near in front of the near half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.86,5.9,not very near from the center of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.77,5.77,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.98,5.87,very far to the left end of the edge of the near half of the chair,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ left) (NN end)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN chair)))))))))))
5.14,5.22,not very near to the left of the far end of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))))
5.09,5.79,not very far from the far end of the left edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.72,6.02,not very near to the right of the far edge of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))
5.07,7.0,very far to the middle of the right edge of the cup,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN cup)))))))))
5.37,6.12,in the far half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.24,6.47,somewhat far to the right of the near end of the edge of the left half of the table surface,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table) (NN surface)))))))))))))
5.76,5.05,very far to the center of the left edge of the bottle,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.62,5.85,somewhat far behind the far end of the table,(S1 (ADJP (RB somewhat) (RB far) (PP (IN behind) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
5.74,5.32,somewhat far behind the far edge of the table,(S1 (ADJP (RB somewhat) (RB far) (PP (IN behind) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
5.99,6.19,in the far half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.7,5.41,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.2,5.23,in the left half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.82,5.8,not very far in front of the left side of the near edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.11,5.18,at the far end of the edge of the right half of the cup,(S1 (FRAG (PP (IN at) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN cup)))))))))))
5.68,6.94,not very far in front of the near end of the left edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))
