"LOCATION","REGION","NEARFAR","PRECISE","PHRASE","PARSETREE"
"39","MIDDLE","NEAR","NIL","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"77","MODERATE","FAR","T","past the middle of the table","(ROOT (PP (IN past) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"83","MODERATE","FAR","T","down the table","(ROOT (ADVP (IN down) (NP (DT the) (NN table))))"
"4","EXTREME","NEAR","T","on this end of the table","(ROOT (PP (IN on) (NP (NP (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"85","EXTREME","FAR","T","very near the far end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"65","MIDDLE","FAR","T","near the middle of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"84","MODERATE","FAR","NIL","toward the end of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"12","EXTREME","NEAR","T","nearly at my end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"29","MIDDLE","NEAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"31","MIDDLE","NEAR","T","near the middle of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"27","MIDDLE","NEAR","T","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"67","MIDDLE","FAR","T","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"53","MIDDLE","FAR","NIL","around the middle of the table","(ROOT (PP (IN around) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"61","MIDDLE","FAR","T","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"98","EXTREME","FAR","NIL","very near the end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"61","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"85","MODERATE","FAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"51","MIDDLE","FAR","T","at the center of the table","(ROOT (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"62","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"92","EXTREME","FAR","T","very near the other end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"65","MIDDLE","FAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"24","MIDDLE","NEAR","T","toward the center of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"18","MODERATE","NEAR","T","closer  than the center of the table","(ROOT (ADJP (JJR closer) (PP (IN than) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"31","MIDDLE","NEAR","NIL","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"84","MODERATE","FAR","NIL","not far from the end of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))"
"35","MIDDLE","NEAR","T","close to the middle of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"8","EXTREME","NEAR","T","nearly at the near end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"60","MIDDLE","FAR","T","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"26","MIDDLE","NEAR","NIL","around the center of the table","(ROOT (PP (IN around) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"75","MIDDLE","FAR","NIL","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"61","MIDDLE","FAR","NIL","around the center of the table","(ROOT (PP (IN around) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"36","MIDDLE","NEAR","T","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"31","MIDDLE","NEAR","T","close to the middle of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"83","MODERATE","FAR","T","on the other side of the center of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"68","MIDDLE","FAR","NIL","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"44","MIDDLE","NEAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"21","MIDDLE","NEAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"82","MODERATE","FAR","NIL","near the end of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"58","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"15","EXTREME","NEAR","NIL","nearly at the end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"26","MODERATE","NEAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"36","MIDDLE","NEAR","T","near the middle of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"72","MIDDLE","FAR","NIL","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"90","EXTREME","FAR","NIL","very close to the end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"58","MIDDLE","FAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"35","MIDDLE","NEAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"92","EXTREME","FAR","T","very near that end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"83","MODERATE","FAR","T","down the table","(ROOT (ADVP (IN down) (NP (DT the) (NN table))))"
"35","MIDDLE","NEAR","NIL","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"87","EXTREME","FAR","T","nearly at the other end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"73","MIDDLE","FAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"60","MIDDLE","FAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"50","MIDDLE","FAR","T","at the center of the table","(ROOT (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"81","MODERATE","FAR","T","past the center of the table","(ROOT (PP (IN past) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"44","MIDDLE","NEAR","T","toward the center of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"57","MIDDLE","FAR","T","toward the center of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"46","MIDDLE","NEAR","NIL","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"98","EXTREME","FAR","T","on the other end of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"50","MIDDLE","FAR","T","in the center of the table","(ROOT (PP (IN in) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"82","MODERATE","FAR","T","on the other side of the center of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"81","MODERATE","FAR","NIL","toward the end of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"92","EXTREME","FAR","T","very close to the far end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"72","MODERATE","FAR","NIL","toward the end of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"59","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"18","MODERATE","NEAR","T","on this side of the middle of the table","(ROOT (PP (IN on) (NP (NP (DT this) (NN side)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"46","MIDDLE","NEAR","T","very near the center of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"91","EXTREME","FAR","T","nearly at that end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"51","MIDDLE","FAR","T","in the center of the table","(ROOT (PP (IN in) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"3","EXTREME","NEAR","T","on the near end of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"41","MIDDLE","NEAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"2","EXTREME","NEAR","T","at the near end of the table","(ROOT (PP (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"4","EXTREME","NEAR","T","at this end of the table","(ROOT (PP (IN at) (NP (NP (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"65","MIDDLE","FAR","T","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"18","EXTREME","NEAR","T","nearly at my end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"55","MIDDLE","FAR","T","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"92","EXTREME","FAR","T","nearly at the other end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"85","MODERATE","FAR","T","on the other side of the middle of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"67","MIDDLE","FAR","T","near the middle of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"46","MIDDLE","NEAR","NIL","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"69","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"24","EXTREME","NEAR","T","nearly at my end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"65","MIDDLE","FAR","T","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"68","MIDDLE","FAR","NIL","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"64","MIDDLE","FAR","T","close to the middle of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"71","MIDDLE","FAR","NIL","on the table","(ROOT (PP (IN on) (NP (DT the) (NN table))))"
"98","EXTREME","FAR","T","on that end of the table","(ROOT (PP (IN on) (NP (NP (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"77","MODERATE","FAR","T","on the other side of the center of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"5","EXTREME","NEAR","T","on the near end of the table","(ROOT (PP (IN on) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"53","MIDDLE","FAR","T","very near the middle of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"45","MIDDLE","NEAR","T","near the middle of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"22","MODERATE","NEAR","NIL","near the end of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"85","MODERATE","FAR","T","close to the far end of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"30","MIDDLE","NEAR","T","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"52","MIDDLE","FAR","T","very near the middle of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"25","MIDDLE","NEAR","T","not far from the middle of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))"
"85","MODERATE","FAR","T","past the center of the table","(ROOT (PP (IN past) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"73","MIDDLE","FAR","T","close to the middle of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"40","MIDDLE","NEAR","T","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"89","EXTREME","FAR","T","very near the other end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"89","EXTREME","FAR","NIL","very near the end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"22","MODERATE","NEAR","T","closer to me than the center of the table","(ROOT (ADJP (JJR closer) (PP (TO to) (NP (NP (PRP me)) (PP (IN than) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))))"
"96","EXTREME","FAR","NIL","very close to the end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"79","MODERATE","FAR","T","past the center of the table","(ROOT (PP (IN past) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"87","EXTREME","FAR","T","very near the other end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"82","EXTREME","FAR","T","nearly at the far end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"92","EXTREME","FAR","T","nearly at the far end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"31","MIDDLE","NEAR","NIL","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"11","EXTREME","NEAR","T","very near my end of the table","(ROOT (ADVP (RB very) (PP (IN near) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"95","EXTREME","FAR","T","on that end of the table","(ROOT (PP (IN on) (NP (NP (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"66","MIDDLE","FAR","NIL","near the center of the table","(ROOT (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"12","EXTREME","NEAR","T","very close to my end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"14","MODERATE","NEAR","NIL","toward the end of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"85","MODERATE","FAR","T","near the other end of the table","(ROOT (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"68","MIDDLE","FAR","T","close to the center of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))"
"26","MIDDLE","NEAR","T","close to the middle of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))"
"64","MIDDLE","FAR","T","toward the middle of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))"
"18","EXTREME","NEAR","T","nearly at this end of the table","(ROOT (FRAG (ADVP (RB nearly)) (PP (IN at) (NP (NP (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"2","EXTREME","NEAR","T","at this end of the table","(ROOT (PP (IN at) (NP (NP (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"75","MIDDLE","FAR","T","not far from the center of the table","(ROOT (FRAG (RB not) (ADVP (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))"
"90","EXTREME","FAR","T","very close to that end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"40","MIDDLE","NEAR","T","toward the center of the table","(ROOT (PP (IN toward) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))"
"78","MODERATE","FAR","T","close to the far end of the table","(ROOT (ADVP (RB close) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"76","MODERATE","FAR","T","near the other end of the table","(ROOT (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
"9","EXTREME","NEAR","T","very close to my end of the table","(ROOT (ADJP (ADJP (RB very) (RB close)) (PP (TO to) (NP (NP (PRP$ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))"
"77","MODERATE","FAR","T","down the table","(ROOT (ADVP (IN down) (NP (DT the) (NN table))))"
"5","EXTREME","NEAR","T","on this end of the table","(ROOT (PP (IN on) (NP (NP (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))"
