Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.22, 0.76) ; not really close to the center of the left edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.11, 1.30) ; very far from the center of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 0.56) ; not quite near the center of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.82, 0.34) ; almost at the near end of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 1.82) ; pretty near the right side of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.23, 1.10) ; not rather far from the middle of the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.19, 1.01) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 0.65) ; not very far from the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.30, 1.43) ; not squarely at the my end of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.36, 1.03) ; not very far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.07, 0.89) ; close to the center of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.52, 0.61) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.21, 1.32) ; not far from the left side of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.79, 0.78) ; not far from the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.56, 1.69) ; not very far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.43, 1.42) ; not rather near the left side of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 1.18) ; not far from the right side of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 1.25) ; not at the center of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.50, 1.93) ; quite near the middle of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 0.05) ; pretty near the near edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.19, 0.91) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.49, 1.95) ; not really far from the center of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.75, 0.57) ; fairly far from the middle of the left edge of the table ; (S1 (ADVP (ADVP (RB fairly) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.00, 0.02) ; not very far from the left edge of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.40, 1.78) ; far from the near edge of the table ; (S1 (PP (RB far) (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.29, 1.23) ; near the center of the table ; (S1 (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.29, 1.94) ; rather near the far edge of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.42, 1.27) ; nearly at the center of the left edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.65, 0.98) ; very close to the middle of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.25, 0.68) ; really far from the far end of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.64, 1.13) ; really far from the far edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 0.47) ; very far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.23, 1.70) ; not very close to the other end of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.52, 1.31) ; really close to the center of the table ; (S1 (S (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.40, 1.24) ; quite far from the middle of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.07, 0.17) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.71, 1.43) ; not squarely at the right side of the far edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.28, 0.63) ; near the left edge of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.65, 1.47) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.99, 0.28) ; squarely at the right edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.43, 0.47) ; very close to the middle of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 1.05) ; rather far from the near edge of the table ; (S1 (ADVP (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.26, 1.40) ; really far from the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.34, 0.35) ; really far from the lower right corner of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.64, 1.19) ; really far from the far end of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 0.48) ; pretty close to the left side of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.89, 1.04) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.78, 1.06) ; at the right side of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.45, 1.75) ; quite close to the middle of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.04, 0.53) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.86, 1.38) ; squarely at the right side of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.31, 1.87) ; not very near the my end of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.36, 0.99) ; rather close to the middle of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.07, 1.90) ; very near the far end of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.34, 1.33) ; quite far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.24, 0.63) ; at the left side of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.36, 0.04) ; not near the near end of the left edge of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.60, 0.81) ; pretty near the center of the right edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.20, 0.91) ; not at the center of the far edge of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.97, 0.88) ; quite near the right side of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 0.29) ; somewhat close to the right side of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.06, 1.02) ; fairly near the center of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.53, 1.15) ; quite far from the middle of the right edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.49, 0.12) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.44, 0.52) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.20, 0.90) ; not rather near the other end of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.71, 1.98) ; at the that end of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN that) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.11, 1.12) ; really far from the middle of the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.93, 1.35) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.98, 0.23) ; fairly near the right edge of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.97, 1.61) ; not rather far from the right side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.05, 0.44) ; quite far from the this end of the right edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.83, 0.62) ; fairly close to the center of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.68, 0.49) ; not near the right edge of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.42, 0.13) ; squarely at the near end of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.78, 0.38) ; not rather far from the lower right corner of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.61) ; somewhat close to the left side of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.01, 0.78) ; not rather far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.68, 1.39) ; not rather close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.14, 1.72) ; not rather far from the far end of the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.80, 1.18) ; very far from the left side of the near edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.42, 1.22) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.87, 1.86) ; really near the far end of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.36, 1.48) ; not really near the center of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.38, 1.13) ; somewhat far from the far edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 0.35) ; not rather close to the far end of the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.22, 1.76) ; nearly at the left edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.44, 0.66) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.42, 0.71) ; not rather close to the left side of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.97, 1.58) ; not rather close to the lower left corner of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.24, 0.60) ; really far from the upper right corner of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 0.35) ; really far from the right side of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.85, 0.55) ; not rather near the far end of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.66, 0.13) ; near the near end of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.07, 0.07) ; squarely at the lower left corner of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (ADJP (RBR lower) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.63, 0.17) ; quite far from the near edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.62, 0.46) ; not far from the near end of the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.25, 1.08) ; near the left edge of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
